id,practice_id,sub_family_id,planet,people,prosperity,keyword,precision_of_recommendations,criteria,justification,test_1_1_1,test_1_1_2,test_x,correspondence,correspondence_link,target,formal_type,difficulty,misc_comments,odds,is_unmissable,cycle_de_vie,tags,actors,indicators,x_indicator,y_indicator,priority,recurrence,use_case
1,STR-1.01,1,A,A,B,Project framing,Anticipate the impacts,"When remote meetings are not possible, are they limited to the strict minimum when physical travel is required?",Travels are sources of Greenhouse Gas (GHG) emissions and have an impact on the personal organization of employees.,Do the tools exist in the company to allow remote meetings in good conditions?,Are all scheduled meetings useful?,,,,Strategy,RECO,*,,,0,N/A,#GOV ; #HR ; #FIN,ProjectMngr ; Manager ;  HR ; ITMngr ; Staff,(X / Y ) * 100,Meeting from distance,Total Number of meetings,High,Once,The statement of work defines meetings and travels for all actors
2,STR-1.02,1,A,A,B,Project framing,Anticipate the impacts,"Is teleworking allowed, without limits, to employees who want it and whose activity allows it?","In addition to the limitation of commuting and its environmental footprint, time lost during travel can be considerable. On the other hand, the tools and the organization must avoid the breakdown of social ties that can result from teleworking.",Does the company offer a framework for teleworking?,"Does the organization allow teleworking to willing employees whose profession allows it, at a pace chosen by each one of them?",,,,Strategy,RECO,*,,,0,N/A,#METH ; #GOV ; #HR ; #FIN ; #LEG,Manager ; RSE/NR ; HR ; ITMngr,(X / Y ) * 100,Number of teleworking proposals,Concerned positions,Medium,Once,HR strategy defines teleworking conditions
3,STR-1.C01,1,B,A,B,Project framing,"Know your stage of maturity, identify the interests of the company",Is the company open to a Sustainable IT approach which could unite spirits around an innovative project?,"To be effective, the Sustainable IT approach must be present in the organisation's strategy and involve all decision-making processes with the aim of reducing the impact of digital services.",Do managers have a free hand to initiate the Sustainable IT approach in projects?,,,,,Strategy,CONSEIL,N/A,,,0,N/A,,,,,,,0,
4,STR-1.C02,1,B,B,B,Project framing,Know your stage of maturity,Are the CSR and Sustainable IT strategies associated and systematically implemented in all projects?,"Sustainable IT treatment is a systemic approach that has to be considered in all projects. As it is often the case for CSR, the gain is much more significant than when Sustainable IT elements are dealt with on an ad hoc basis.",What proportion of projects have Sustainable IT requirements?,What is the targetted share of projects with Sustainable IT requirements? At what deadline?,,,,Strategy,CONSEIL,N/A,,,0,Conception,,,,,,,0,
5,STR-1.03,1,B,A,B,Project framing,Define the stakes,How to make Sustainable IT more than a communication objective? Are concrete results associated with the Sustainable IT approach? (no Greenwashing),The energy and budgets spent on purely communicating aspects (greenwashing) can be substantial for no tangible result. With the same investments it is possible to obtain significant results on which communication will be more effective.,Are Sustainable IT requirements taken into account by all projects' teams?,,,,,Strategy,RECO,*,,,0,Production,#COM ; #VALUE ; #GOV ; #FIN,RSE/NR ;,(X / Y ) * 100,Yes = 100 ; Partial = 50 ; No = 0,100,Medium,Once,CSR / Sustainable IT Strategy - Blueprint
6,STR-1.04,1,B,B,A,Project framing,Define the business need,Is the business need expressed?,"Uncertainties encourage to extrapolate needs often beyond real expectations, which is harmful for environmental footprints.",Are business needs assessed impartially in relation to uses?,,,,,Strategy,RECO,*,,,1,Conception,#VOL ; #USE ; #VALUE ; #METH ; #FIN,ProductOwner ;,(X / Y ) * 100,Framing redacted and validated = 100 ; Framing formalized = 75 ; gentlemen agreement = 30 ; No = 0,100,High,OnUpdate,"Requirements formalized, validated and shared "
7,STR-1.05,1,B,A,B,Project framing,Define the business need,"Is the target of users (primary and secondary) defined, to specify the business need?","In order to respond accurately (neither too much nor too little) to user expectations, it is essential to know the targets and their behavior, so as not to overload the applications, nor to impoverish them to the point that they no longer meet the legitimate expectations. Secondary users often have simpler needs. Without identifying this category of user, it is difficult to properly size the service.",Are the users' profiles described with the corresponding USE CASE?,,,,,Strategy,RECO,*,,,0,Conception,#USE ;  #VALUE,Dev ; Designer ; ProjectMngr ; ProductOwner,,,,High,OnUpdate,Project statement of work
8,STR-1.06,1,B,C,C,Project framing,Define the business need,Are the users' materials identified?,"Certain uses may be constrained by user equipment, to allow a wider choice of equipment, even old ones, and to limit equipment renewals. It is important to know the hardware profiles that users will be able to use, today and in the future.",Is each USE CASE associated with the list of hardware equipment necessary for its implementation?,,,,,Strategy,RECO,**,,,0,Conception,#USE ;  #VALUE ; #OBSO,Dev ; Designer ; ProjectMngr ; ProductOwner,,,,High,OnUpdate,Technical documentation
9,STR-1.07,1,A,B,A,Project framing,Define and challenge needs,Are all products and services essential online?,"Some functionalities are offered in connected mode while no remote data or no heavy calculation process is required. In these cases, a local (offline) solution is environmentally efficient, with fewer information flow and use of networks. On the other hand, if the offline mode requires duplication of information, it is only justified if the network accesses are intermittent and pose difficulties in using the service.","Can the product / service be envisioned without being deployed online, with a similar outcome for the business?",,,,,Strategy,RECO,*,,,0,Conception,#USE ; #COM ; #VALUE,ProductOwner ;,(X / Y ) * 100,Covered = 100 ; Partial = 50 ; Ignored = 0,100,Medium,Once,"Project statement of work expose related services and operation means (on line, face 2 face, ...) "
10,STR-1.08,1,A,B,A,Project framing,Define and challenge needs,"Can I cover the needs differently, by avoiding digital through a more environmentally friendly mean?","Some simple manual processes can be an alternative to everything digital, even within a digital department. In the context of a digital service, the natural tendency is to integrate all the steps into it without asking the question of environmental efficiency.","Can the product / service be envisioned without being digital, with a similar result for the company?",,,,,Strategy,RECO,*,,,0,Conception,#USE ; #COM ; #VALUE,ProjectMngr ; ProductOwner ;,(X / Y ) * 100,Number of Formalized questions,Number of requirements,Medium,Once,Project framing highlight impact evaluation for any requirement
